timestamp,Real,Prediccion,Señal,Movimiento Real
2025-01-02 09:30:00,2.242e-05,2.2844577226638795e-05,1,-1
2025-01-02 09:45:00,2.259e-05,2.283864790439606e-05,1,1
2025-01-02 10:00:00,2.259e-05,2.283798073232174e-05,1,-1
2025-01-02 10:15:00,2.282e-05,2.2883273206949235e-05,1,1
2025-01-02 10:30:00,2.271e-05,2.2933177924752238e-05,1,-1
2025-01-02 10:45:00,2.2779999999999995e-05,2.2974843499064447e-05,1,1
2025-01-02 11:00:00,2.2769999999999997e-05,2.296355460226536e-05,1,-1
2025-01-02 11:15:00,2.273e-05,2.2991204630136492e-05,1,-1
2025-01-02 11:30:00,2.2769999999999997e-05,2.2983007416129116e-05,1,1
2025-01-02 11:45:00,2.282e-05,2.297810043334961e-05,1,1
2025-01-02 12:00:00,2.296e-05,2.2999982690811158e-05,1,1
2025-01-02 12:15:00,2.282e-05,2.303874279856682e-05,1,-1
2025-01-02 12:30:00,2.2769999999999997e-05,2.3067886255979538e-05,1,-1
2025-01-02 12:45:00,2.282e-05,2.3039215121865275e-05,1,1
2025-01-02 13:00:00,2.273e-05,2.302533276319504e-05,1,-1
2025-01-02 13:15:00,2.272e-05,2.3021741626262665e-05,1,-1
2025-01-02 13:30:00,2.2769999999999997e-05,2.3013752826452258e-05,1,1
2025-01-02 13:45:00,2.2690000000000005e-05,2.3011233357787135e-05,1,-1
2025-01-02 14:00:00,2.267e-05,2.3014783798456193e-05,1,-1
2025-01-02 14:15:00,2.271e-05,2.3064806905388834e-05,1,1
2025-01-02 14:30:00,2.276e-05,2.303504067182541e-05,1,1
2025-01-02 14:45:00,2.2830000000000003e-05,2.314806776046753e-05,1,1
2025-01-02 15:00:00,2.282e-05,2.3161310077905657e-05,1,-1
2025-01-02 15:15:00,2.268e-05,2.3181791397333148e-05,1,-1
2025-01-02 15:30:00,2.2639999999999997e-05,2.3139641167521477e-05,1,-1
2025-01-02 15:45:00,2.2700000000000003e-05,2.3061900205612183e-05,1,1
2025-01-02 16:00:00,2.279e-05,2.3027023507952693e-05,1,1
